Date,Close
2022-12-02,146.2718
2022-12-05,145.1041
2022-12-06,141.4228
2022-12-07,139.4733
2022-12-08,141.1655
2022-12-09,140.6806
2022-12-12,142.9864
2022-12-13,143.9562
2022-12-14,141.7197
2022-12-15,135.0795
2022-12-16,133.1102
2022-12-19,130.9925
2022-12-20,130.9232
2022-12-21,134.0404
2022-12-22,130.8539
2022-12-23,130.4878
2022-12-27,128.6768
2022-12-28,124.7284
2022-12-29,128.2612
2022-12-30,128.5779
2023-01-03,123.7685
2023-01-04,125.0450
2023-01-05,123.7190
2023-01-06,128.2711
2023-01-09,128.7956
2023-01-10,129.3696
2023-01-11,132.1009
2023-01-12,132.0217
2023-01-13,133.3576
2023-01-17,134.5253
2023-01-18,133.8029
2023-01-19,133.8623
2023-01-20,136.4353
2023-01-23,139.6415
2023-01-24,141.0468
2023-01-25,140.3837
2023-01-26,142.4619
2023-01-27,144.4114
2023-01-30,141.5119
2023-01-31,142.7884
2023-02-01,143.9166
2023-02-02,149.2505
2023-02-03,152.8922
2023-02-06,150.1510
2023-02-07,153.0406
2023-02-08,150.3390
2023-02-09,149.3000
2023-02-10,149.6667
2023-02-13,152.4814
2023-02-14,151.8372
2023-02-15,153.9482
2023-02-16,152.3427
2023-02-17,151.1930
2023-02-21,147.1592
2023-02-22,147.5854
2023-02-23,148.0710
2023-02-24,145.4049
2023-02-27,146.6042
2023-02-28,146.0987
2023-03-01,144.0174
2023-03-02,144.6120
2023-03-03,149.6865
2023-03-06,152.4616
2023-03-07,150.2514
2023-03-08,151.5101
2023-03-09,149.2504
2023-03-10,147.1790
2023-03-13,149.1315
2023-03-14,151.2326
2023-03-15,151.6291
2023-03-16,154.4636
2023-03-17,153.6212
2023-03-20,155.9998
2023-03-21,157.8631
2023-03-22,156.4260
2023-03-23,157.5162
2023-03-24,158.8245
2023-03-27,156.8720
2023-03-28,156.2476
2023-03-29,159.3398
2023-03-30,160.9157
2023-03-31,163.4331
2023-04-03,164.6918
2023-04-04,164.1566
2023-04-05,162.3033
2023-04-06,163.1953
2023-04-10,160.5886
2023-04-11,159.3696
2023-04-12,158.6758
2023-04-13,164.0872
2023-04-14,163.7404
2023-04-17,163.7602
2023-04-18,164.9892
2023-04-19,166.1389
2023-04-20,165.1675
2023-04-21,163.5521
2023-04-24,163.8593
2023-04-25,162.3132
2023-04-26,162.3033
2023-04-27,166.9119
2023-04-28,168.1706
2023-05-01,168.0814
2023-05-02,167.0407
2023-05-03,165.9604
2023-05-04,164.3152
2023-05-05,172.0260
2023-05-08,171.9566
2023-05-09,170.2420
2023-05-10,172.0161
2023-05-11,172.2044
2023-05-12,171.2715
2023-05-15,170.7753
2023-05-16,170.7753
2023-05-17,171.3906
2023-05-18,173.7328
2023-05-19,173.8420
2023-05-22,172.8892
2023-05-23,170.2691
2023-05-24,170.5470
2023-05-25,171.6883
2023-05-26,174.1099
2023-05-30,175.9659
2023-05-31,175.9163
2023-06-01,178.7349
2023-06-02,179.5884
2023-06-05,178.2287
2023-06-06,177.8615
2023-06-07,176.4820
2023-06-08,179.2113
2023-06-09,179.5984
2023-06-12,182.4070
2023-06-13,181.9307
2023-06-14,182.5658
2023-06-15,184.6103
2023-06-16,183.5285
2023-06-20,183.6179
2023-06-21,182.5758
2023-06-22,185.5929
2023-06-23,185.2753
2023-06-26,183.8759
2023-06-27,186.6449
2023-06-28,187.8260
2023-06-29,188.1634
2023-06-30,192.5105
2023-07-03,191.0118
2023-07-05,189.8903
2023-07-06,190.3667
2023-07-07,189.2452
2023-07-10,187.1908
2023-07-11,186.6648
2023-07-12,188.3421
2023-07-13,189.1062
2023-07-14,189.2551
2023-07-17,192.5303
2023-07-18,192.2722
2023-07-19,193.6320
2023-07-20,191.6768
2023-07-21,190.4957
2023-07-24,191.2996
2023-07-25,192.1631
2023-07-26,193.0365
2023-07-27,191.7661
2023-07-28,194.3564
2023-07-31,194.9718
2023-08-01,194.1381
2023-08-02,191.1309
2023-08-03,189.7315
2023-08-04,180.6206
2023-08-07,177.5042
2023-08-08,178.4471
2023-08-09,176.8492
2023-08-10,176.6308
2023-08-11,176.6905
2023-08-14,178.3501
2023-08-15,176.3526
2023-08-16,175.4780
2023-08-17,172.9239
2023-08-18,173.4109
2023-08-21,174.7525
2023-08-22,176.1339
2023-08-23,179.9999
2023-08-24,175.2892
2023-08-25,177.5054
2023-08-28,179.0756
2023-08-29,182.9813
2023-08-30,186.4895
2023-08-31,186.7081
2023-09-01,188.2883
2023-09-05,188.5268
2023-09-06,181.7788
2023-09-07,176.4619
2023-09-08,177.0780
2023-09-11,178.2507
2023-09-12,175.2097
2023-09-13,173.1326
2023-09-14,174.6532
2023-09-15,173.9276
2023-09-18,176.8694
2023-09-19,177.9626
2023-09-20,174.4047
